r,r1,r2,r3,r4,r5,r6,r7,r8,n1,n2,n3,n4,n5,n6,n7,n8
55.92625250501002,4.112224448897796,4.934669338677355,5.757114228456914,6.579559118236473,7.402004008016032,8.224448897795591,9.04689378757515,9.86933867735471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56.70300601202405,4.169338677354709,5.0032064128256515,5.837074148296594,6.670941883767535,7.504809619238476,8.338677354709418,9.17254509018036,10.006412825651303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57.479759519038076,4.226452905811623,5.071743486973948,5.917034068136272,6.762324649298597,7.6076152304609215,8.452905811623246,9.29819639278557,10.143486973947896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58.2565130260521,4.283567134268536,5.140280561122244,5.996993987975951,6.853707414829659,7.710420841683366,8.567134268537073,9.42384769539078,10.280561122244489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59.033266533066126,4.340681362725451,5.208817635270541,6.07695390781563,6.945090180360721,7.813226452905811,8.681362725450901,9.549498997995991,10.417635270541082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59.810020040080154,4.397795591182364,5.277354709418837,6.15691382765531,7.0364729458917825,7.916032064128256,8.795591182364728,9.675150300601201,10.554709418837675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.58677354709418,4.454909819639278,5.345891783567133,6.236873747494989,7.1278557114228445,8.018837675350701,8.909819639278556,9.800801603206413,10.691783567134266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61.36352705410821,4.512024048096192,5.414428857715431,6.316833667334668,7.219238476953907,8.121643286573144,9.024048096192384,9.926452905811622,10.828857715430862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62.14028056112224,4.5691382765531054,5.482965931863728,6.396793587174348,7.310621242484969,8.22444889779559,9.138276553106211,10.052104208416834,10.965931863727455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62.91703406813627,4.62625250501002,5.551503006012024,6.476753507014028,7.402004008016031,8.327254509018035,9.25250501002004,10.177755511022044,11.103006012024048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
